tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2009-560,US Open,Hard,128,G,20090831,113,103819,1.0,,Roger Federer,R,185.0,SUI,28.0629705681,1.0,12040.0,103990,14.0,,Tommy Robredo,R,180.0,ESP,27.3347022587,15.0,2165.0,7-5 6-2 6-2,5,R16,108.0,9.0,0.0,75.0,47.0,41.0,19.0,14.0,4.0,4.0,2.0,2.0,93.0,64.0,40.0,11.0,14.0,5.0,10.0
2009-560,US Open,Hard,128,G,20090831,121,103819,1.0,,Roger Federer,R,185.0,SUI,28.0629705681,1.0,12040.0,104417,12.0,,Robin Soderling,R,193.0,SWE,25.0458590007,12.0,2665.0,6-0 6-3 6-7(6) 7-6(6),5,QF,153.0,28.0,3.0,128.0,85.0,73.0,24.0,20.0,5.0,5.0,11.0,5.0,127.0,85.0,62.0,19.0,19.0,7.0,11.0
2009-560,US Open,Hard,128,G,20090831,125,103819,1.0,,Roger Federer,R,185.0,SUI,28.0629705681,1.0,12040.0,104925,4.0,,Novak Djokovic,R,188.0,SRB,22.2778918549,4.0,7660.0,7-6(3) 7-5 7-5,5,SF,154.0,8.0,3.0,109.0,63.0,49.0,28.0,18.0,2.0,3.0,6.0,4.0,115.0,78.0,53.0,20.0,18.0,7.0,10.0
2009-560,US Open,Hard,128,G,20090831,127,105223,6.0,,Juan Martin Del Potro,R,198.0,ARG,20.9363449692,6.0,5325.0,103819,1.0,,Roger Federer,R,185.0,SUI,28.0629705681,1.0,12040.0,3-6 7-6(5) 4-6 7-6(4) 6-2,5,F,246.0,8.0,6.0,171.0,112.0,81.0,33.0,25.0,17.0,22.0,14.0,11.0,181.0,93.0,67.0,48.0,26.0,10.0,15.0
2009-580,Australian Open,Hard,128,G,20090119,64,103819,2.0,,Roger Federer,R,185.0,SUI,27.4496919918,2.0,10700.0,104312,,,Andreas Seppi,R,190.0,ITA,24.9117043121,35.0,1820.0,6-1 7-6(4) 7-5,5,R128,280.0,9.0,5.0,115.0,76.0,56.0,23.0,16.0,10.0,10.0,1.0,6.0,109.0,70.0,48.0,18.0,15.0,7.0,10.0
2009-580,Australian Open,Hard,128,G,20090119,96,103819,2.0,,Roger Federer,R,185.0,SUI,27.4496919918,2.0,10700.0,105095,,Q,Evgeny Korolev,R,185.0,KAZ,20.9308692676,118.0,808.0,6-2 6-3 6-1,5,R64,85.0,8.0,3.0,68.0,41.0,28.0,20.0,12.0,0.0,1.0,2.0,3.0,80.0,41.0,22.0,17.0,12.0,5.0,12.0
2009-580,Australian Open,Hard,128,G,20090119,112,103819,2.0,,Roger Federer,R,185.0,SUI,27.4496919918,2.0,10700.0,103498,26.0,,Marat Safin,R,193.0,RUS,28.9801505818,27.0,2050.0,6-3 6-2 7-6(5),5,R32,110.0,9.0,1.0,89.0,54.0,46.0,22.0,15.0,0.0,0.0,14.0,2.0,88.0,44.0,30.0,24.0,14.0,1.0,4.0
2009-580,Australian Open,Hard,128,G,20090119,120,103819,2.0,,Roger Federer,R,185.0,SUI,27.4496919918,2.0,10700.0,104607,20.0,,Tomas Berdych,R,196.0,CZE,23.3401779603,21.0,2400.0,4-6 6-7(4) 6-4 6-4 6-2,5,R16,205.0,20.0,5.0,159.0,108.0,76.0,24.0,25.0,7.0,12.0,7.0,2.0,151.0,93.0,65.0,27.0,25.0,4.0,12.0
2009-580,Australian Open,Hard,128,G,20090119,124,103819,2.0,,Roger Federer,R,185.0,SUI,27.4496919918,2.0,10700.0,105223,8.0,,Juan Martin Del Potro,R,198.0,ARG,20.3230663929,6.0,4060.0,6-3 6-0 6-0,5,QF,80.0,12.0,0.0,53.0,37.0,32.0,12.0,11.0,0.0,0.0,5.0,2.0,66.0,39.0,18.0,9.0,10.0,4.0,11.0
2009-580,Australian Open,Hard,128,G,20090119,126,103819,2.0,,Roger Federer,R,185.0,SUI,27.4496919918,2.0,10700.0,104053,7.0,,Andy Roddick,R,188.0,USA,26.3901437372,9.0,3940.0,6-2 7-5 7-5,5,SF,125.0,16.0,0.0,96.0,63.0,52.0,19.0,16.0,3.0,3.0,8.0,2.0,94.0,61.0,43.0,17.0,16.0,9.0,13.0
2009-580,Australian Open,Hard,128,G,20090119,127,104745,1.0,,Rafael Nadal,L,185.0,ESP,22.6310746064,1.0,13160.0,103819,2.0,,Roger Federer,R,185.0,SUI,27.4496919918,2.0,10700.0,7-5 3-6 7-6(3) 3-6 6-2,5,F,259.0,4.0,4.0,175.0,112.0,74.0,30.0,24.0,13.0,19.0,11.0,6.0,172.0,89.0,65.0,38.0,26.0,9.0,16.0
2009-520,Roland Garros,Clay,128,G,20090525,64,103819,2.0,,Roger Federer,R,185.0,SUI,27.794661191,2.0,10470.0,103252,,,Alberto Martin,R,175.0,ESP,30.7624914442,98.0,795.0,6-4 6-3 6-2,5,R128,103.0,10.0,0.0,75.0,51.0,40.0,16.0,14.0,0.0,1.0,0.0,3.0,87.0,56.0,34.0,13.0,13.0,5.0,10.0
2009-520,Roland Garros,Clay,128,G,20090525,96,103819,2.0,,Roger Federer,R,185.0,SUI,27.794661191,2.0,10470.0,104076,,,Jose Acasuso,R,190.0,ARG,26.5954825462,45.0,1210.0,7-6(8) 5-7 7-6(2) 6-2,5,R64,205.0,11.0,0.0,142.0,101.0,75.0,22.0,22.0,5.0,10.0,5.0,2.0,154.0,96.0,59.0,31.0,22.0,6.0,12.0
2009-520,Roland Garros,Clay,128,G,20090525,112,103819,2.0,,Roger Federer,R,185.0,SUI,27.794661191,2.0,10470.0,103908,32.0,,Paul Henri Mathieu,R,185.0,FRA,27.3648186174,35.0,1490.0,4-6 6-1 6-4 6-4,5,R32,166.0,14.0,3.0,110.0,65.0,53.0,22.0,19.0,5.0,7.0,8.0,3.0,126.0,75.0,49.0,24.0,18.0,11.0,16.0
2009-520,Roland Garros,Clay,128,G,20090525,120,103819,2.0,,Roger Federer,R,185.0,SUI,27.794661191,2.0,10470.0,103163,,,Tommy Haas,R,188.0,GER,31.1430527036,63.0,1015.0,6-7(4) 5-7 6-4 6-0 6-2,5,R16,187.0,16.0,1.0,130.0,82.0,70.0,29.0,24.0,3.0,5.0,11.0,3.0,145.0,93.0,63.0,28.0,24.0,8.0,15.0
2009-520,Roland Garros,Clay,128,G,20090525,124,103819,2.0,,Roger Federer,R,185.0,SUI,27.794661191,2.0,10470.0,104792,11.0,,Gael Monfils,R,193.0,FRA,22.7296372348,10.0,3150.0,7-6(6) 6-2 6-4,5,QF,130.0,8.0,1.0,94.0,54.0,43.0,26.0,15.0,4.0,4.0,7.0,1.0,105.0,61.0,41.0,22.0,15.0,2.0,5.0
2009-520,Roland Garros,Clay,128,G,20090525,126,103819,2.0,,Roger Federer,R,185.0,SUI,27.794661191,2.0,10470.0,105223,5.0,,Juan Martin Del Potro,R,198.0,ARG,20.6680355921,5.0,4830.0,3-6 7-6(2) 2-6 6-1 6-4,5,SF,209.0,5.0,1.0,142.0,92.0,67.0,26.0,24.0,8.0,13.0,16.0,6.0,168.0,98.0,72.0,30.0,22.0,8.0,12.0
2009-520,Roland Garros,Clay,128,G,20090525,127,103819,2.0,,Roger Federer,R,185.0,SUI,27.794661191,2.0,10470.0,104417,23.0,,Robin Soderling,R,193.0,SWE,24.7775496235,25.0,1775.0,6-1 7-6(1) 6-4,5,F,115.0,16.0,2.0,79.0,52.0,44.0,18.0,14.0,2.0,2.0,2.0,3.0,91.0,55.0,35.0,20.0,15.0,2.0,6.0
2009-540,Wimbledon,Grass,128,G,20090622,64,103819,2.0,,Roger Federer,R,185.0,SUI,27.871321013,2.0,10620.0,104229,,,Yen Hsun Lu,R,180.0,TPE,25.8562628337,65.0,932.0,7-5 6-3 6-2,5,R128,105.0,10.0,1.0,75.0,53.0,45.0,15.0,15.0,2.0,3.0,3.0,1.0,93.0,64.0,40.0,13.0,14.0,6.0,11.0
2009-540,Wimbledon,Grass,128,G,20090622,96,103819,2.0,,Roger Federer,R,185.0,SUI,27.871321013,2.0,10620.0,104198,,,Guillermo Garcia Lopez,R,188.0,ESP,26.0506502396,42.0,1186.0,6-2 6-2 6-4,5,R64,90.0,11.0,2.0,75.0,48.0,44.0,13.0,13.0,2.0,2.0,3.0,6.0,74.0,55.0,35.0,9.0,13.0,2.0,7.0
2009-540,Wimbledon,Grass,128,G,20090622,112,103819,2.0,,Roger Federer,R,185.0,SUI,27.871321013,2.0,10620.0,104259,27.0,,Philipp Kohlschreiber,R,178.0,GER,25.6837782341,32.0,1540.0,6-3 6-2 6-7(5) 6-1,5,R32,151.0,15.0,2.0,126.0,87.0,66.0,20.0,19.0,5.0,7.0,5.0,4.0,126.0,81.0,50.0,20.0,17.0,15.0,22.0
2009-540,Wimbledon,Grass,128,G,20090622,120,103819,2.0,,Roger Federer,R,185.0,SUI,27.871321013,2.0,10620.0,104417,13.0,,Robin Soderling,R,193.0,SWE,24.8542094456,12.0,2825.0,6-4 7-6(5) 7-6(5),5,R16,119.0,23.0,0.0,102.0,68.0,60.0,21.0,17.0,2.0,2.0,16.0,3.0,98.0,55.0,50.0,26.0,17.0,3.0,4.0
2009-540,Wimbledon,Grass,128,G,20090622,124,103819,2.0,,Roger Federer,R,185.0,SUI,27.871321013,2.0,10620.0,103333,22.0,,Ivo Karlovic,R,208.0,CRO,30.3134839151,36.0,1295.0,6-3 7-5 7-6(3),5,QF,103.0,7.0,2.0,85.0,53.0,50.0,24.0,17.0,0.0,0.0,23.0,2.0,82.0,57.0,46.0,15.0,16.0,0.0,2.0
2009-540,Wimbledon,Grass,128,G,20090622,126,103819,2.0,,Roger Federer,R,185.0,SUI,27.871321013,2.0,10620.0,103163,24.0,,Tommy Haas,R,188.0,GER,31.2197125257,34.0,1405.0,7-6(3) 7-5 6-3,5,SF,123.0,11.0,1.0,83.0,62.0,55.0,17.0,17.0,0.0,0.0,11.0,5.0,110.0,72.0,53.0,17.0,16.0,6.0,8.0
2009-540,Wimbledon,Grass,128,G,20090622,127,103819,2.0,,Roger Federer,R,185.0,SUI,27.871321013,2.0,10620.0,104053,6.0,,Andy Roddick,R,188.0,USA,26.8117727584,6.0,4310.0,5-7 7-6(6) 7-6(5) 3-6 16-14,5,F,256.0,50.0,4.0,197.0,127.0,113.0,42.0,37.0,3.0,5.0,27.0,4.0,239.0,169.0,140.0,31.0,38.0,6.0,7.0
2010-540,Wimbledon,Grass,128,G,20100621,1,103819,1.0,,Roger Federer,R,185.0,SUI,28.8678986995,2.0,8525.0,104268,,,Alejandro Falla,L,185.0,COL,26.6009582478,60.0,767.0,5-7 4-6 6-4 7-6(1) 6-0,5,R128,198.0,21.0,7.0,151.0,89.0,70.0,34.0,25.0,7.0,10.0,8.0,2.0,177.0,107.0,72.0,35.0,25.0,9.0,14.0
2010-540,Wimbledon,Grass,128,G,20100621,65,103819,1.0,,Roger Federer,R,185.0,SUI,28.8678986995,2.0,8525.0,104592,,Q,Ilija Bozoljac,R,193.0,SRB,24.8843258042,152.0,328.0,6-3 6-7(4) 6-4 7-6(5),5,R64,166.0,16.0,1.0,135.0,94.0,72.0,29.0,21.0,4.0,4.0,31.0,6.0,140.0,90.0,70.0,28.0,22.0,10.0,13.0
2010-540,Wimbledon,Grass,128,G,20100621,97,103819,1.0,,Roger Federer,R,185.0,SUI,28.8678986995,2.0,8525.0,103096,,,Arnaud Clement,R,173.0,FRA,32.5092402464,86.0,620.0,6-2 6-4 6-2,5,R32,95.0,7.0,3.0,68.0,44.0,37.0,16.0,13.0,1.0,1.0,5.0,0.0,76.0,44.0,32.0,11.0,13.0,5.0,10.0
2010-540,Wimbledon,Grass,128,G,20100621,113,103819,1.0,,Roger Federer,R,185.0,SUI,28.8678986995,2.0,8525.0,103781,16.0,,Jurgen Melzer,L,183.0,AUT,29.0814510609,16.0,2125.0,6-3 6-2 6-3,5,R16,84.0,11.0,2.0,65.0,34.0,29.0,21.0,13.0,0.0,1.0,6.0,3.0,77.0,55.0,29.0,10.0,13.0,4.0,10.0
2010-540,Wimbledon,Grass,128,G,20100621,121,104607,12.0,,Tomas Berdych,R,196.0,CZE,24.758384668,13.0,2825.0,103819,1.0,,Roger Federer,R,185.0,SUI,28.8678986995,2.0,8525.0,6-4 3-6 6-1 6-4,5,QF,155.0,12.0,6.0,124.0,72.0,59.0,23.0,18.0,7.0,8.0,14.0,1.0,121.0,82.0,57.0,19.0,18.0,2.0,6.0
2010-560,US Open,Hard,128,G,20100830,64,103819,2.0,,Roger Federer,R,185.0,SUI,29.0595482546,2.0,7215.0,104314,,,Brian Dabul,L,170.0,ARG,26.5133470226,96.0,577.0,6-1 6-4 6-2,5,R128,93.0,18.0,1.0,74.0,49.0,41.0,14.0,13.0,1.0,1.0,0.0,3.0,85.0,57.0,35.0,12.0,12.0,14.0,19.0
2010-560,US Open,Hard,128,G,20100830,96,103819,2.0,,Roger Federer,R,185.0,SUI,29.0595482546,2.0,7215.0,104676,,,Andreas Beck,L,190.0,GER,24.5639972621,104.0,506.0,6-3 6-4 6-3,5,R64,101.0,15.0,0.0,74.0,40.0,32.0,22.0,14.0,1.0,2.0,8.0,11.0,86.0,50.0,34.0,14.0,14.0,5.0,10.0
2010-560,US Open,Hard,128,G,20100830,112,103819,2.0,,Roger Federer,R,185.0,SUI,29.0595482546,2.0,7215.0,103908,,,Paul Henri Mathieu,R,185.0,FRA,28.629705681,109.0,494.0,6-4 6-3 6-3,5,R32,99.0,13.0,0.0,77.0,47.0,40.0,19.0,14.0,4.0,4.0,3.0,3.0,71.0,37.0,28.0,15.0,14.0,2.0,6.0
2010-560,US Open,Hard,128,G,20100830,120,103819,2.0,,Roger Federer,R,185.0,SUI,29.0595482546,2.0,7215.0,103781,13.0,,Jurgen Melzer,L,183.0,AUT,29.273100616,15.0,2470.0,6-3 7-6(4) 6-3,5,R16,123.0,10.0,1.0,105.0,64.0,49.0,25.0,16.0,10.0,12.0,1.0,3.0,96.0,64.0,38.0,18.0,14.0,4.0,8.0
2010-560,US Open,Hard,128,G,20100830,124,103819,2.0,,Roger Federer,R,185.0,SUI,29.0595482546,2.0,7215.0,104417,5.0,,Robin Soderling,R,193.0,SWE,26.0424366872,5.0,4910.0,6-4 6-4 7-5,5,QF,116.0,18.0,2.0,91.0,58.0,50.0,15.0,16.0,4.0,6.0,2.0,4.0,93.0,54.0,36.0,20.0,16.0,1.0,6.0
2010-560,US Open,Hard,128,G,20100830,126,104925,3.0,,Novak Djokovic,R,188.0,SRB,23.2744695414,3.0,6665.0,103819,2.0,,Roger Federer,R,185.0,SUI,29.0595482546,2.0,7215.0,5-7 6-1 5-7 6-2 7-5,5,SF,224.0,4.0,3.0,151.0,94.0,64.0,36.0,26.0,4.0,7.0,12.0,5.0,160.0,84.0,62.0,35.0,25.0,6.0,12.0
2010-580,Australian Open,Hard,128,G,20100118,1,103819,1.0,,Roger Federer,R,185.0,SUI,28.4462696783,1.0,10550.0,104214,,,Igor Andreev,R,185.0,RUS,26.5160848734,37.0,1030.0,4-6 6-2 7-6(2) 6-0,5,R128,164.0,9.0,2.0,102.0,57.0,44.0,22.0,18.0,6.0,11.0,2.0,7.0,136.0,84.0,48.0,19.0,18.0,10.0,19.0
2010-580,Australian Open,Hard,128,G,20100118,65,103819,1.0,,Roger Federer,R,185.0,SUI,28.4462696783,1.0,10550.0,103812,,,Victor Hanescu,R,198.0,ROU,28.4955509925,47.0,905.0,6-2 6-3 6-2,5,R64,99.0,8.0,1.0,73.0,50.0,41.0,14.0,13.0,5.0,5.0,3.0,1.0,87.0,61.0,34.0,12.0,12.0,6.0,11.0
2010-580,Australian Open,Hard,128,G,20100118,97,103819,1.0,,Roger Federer,R,185.0,SUI,28.4462696783,1.0,10550.0,103656,31.0,,Albert Montanes,R,175.0,ESP,29.144421629,32.0,1185.0,6-3 6-4 6-4,5,R32,108.0,10.0,3.0,79.0,52.0,46.0,15.0,15.0,0.0,0.0,7.0,1.0,91.0,55.0,33.0,23.0,14.0,3.0,6.0
2010-580,Australian Open,Hard,128,G,20100118,113,103819,1.0,,Roger Federer,R,185.0,SUI,28.4462696783,1.0,10550.0,103720,22.0,,Lleyton Hewitt,R,180.0,AUS,28.8980150582,22.0,1600.0,6-2 6-3 6-4,5,R16,115.0,7.0,0.0,79.0,50.0,38.0,19.0,14.0,4.0,5.0,5.0,2.0,100.0,61.0,37.0,18.0,13.0,10.0,15.0
2010-580,Australian Open,Hard,128,G,20100118,121,103819,1.0,,Roger Federer,R,185.0,SUI,28.4462696783,1.0,10550.0,103786,6.0,,Nikolay Davydenko,R,178.0,RUS,28.629705681,6.0,4930.0,2-6 6-3 6-0 7-5,5,QF,156.0,8.0,4.0,122.0,73.0,49.0,24.0,18.0,14.0,19.0,1.0,4.0,107.0,66.0,39.0,16.0,17.0,6.0,14.0
2010-580,Australian Open,Hard,128,G,20100118,125,103819,1.0,,Roger Federer,R,185.0,SUI,28.4462696783,1.0,10550.0,104542,10.0,,Jo Wilfried Tsonga,R,188.0,FRA,24.7556468172,10.0,2875.0,6-2 6-3 6-2,5,SF,88.0,4.0,0.0,69.0,44.0,37.0,17.0,13.0,0.0,0.0,6.0,5.0,70.0,42.0,28.0,11.0,12.0,5.0,10.0
2010-580,Australian Open,Hard,128,G,20100118,127,103819,1.0,,Roger Federer,R,185.0,SUI,28.4462696783,1.0,10550.0,104918,5.0,,Andy Murray,R,190.0,GBR,22.6803559206,4.0,6780.0,6-3 6-4 7-6(11),5,F,161.0,11.0,2.0,112.0,75.0,54.0,22.0,16.0,6.0,8.0,10.0,4.0,104.0,58.0,40.0,24.0,15.0,8.0,12.0
2010-520,Roland Garros,Clay,128,G,20100524,1,103819,1.0,,Roger Federer,R,185.0,SUI,28.7912388775,1.0,10030.0,103429,,,Peter Luczak,R,183.0,AUS,30.7296372348,71.0,691.0,6-4 6-1 6-2,5,R128,108.0,7.0,0.0,69.0,49.0,39.0,15.0,13.0,1.0,1.0,6.0,1.0,81.0,46.0,27.0,17.0,12.0,7.0,12.0
2010-520,Roland Garros,Clay,128,G,20100524,65,103819,1.0,,Roger Federer,R,185.0,SUI,28.7912388775,1.0,10030.0,104268,,,Alejandro Falla,L,185.0,COL,26.5242984257,70.0,705.0,7-6(4) 6-2 6-4,5,R64,120.0,6.0,0.0,104.0,65.0,49.0,21.0,15.0,7.0,8.0,3.0,2.0,94.0,64.0,41.0,16.0,15.0,5.0,9.0
2010-520,Roland Garros,Clay,128,G,20100524,97,103819,1.0,,Roger Federer,R,185.0,SUI,28.7912388775,1.0,10030.0,104714,,Q,Julian Reister,R,188.0,GER,24.1423682409,165.0,296.0,6-4 6-0 6-4,5,R32,93.0,6.0,3.0,72.0,41.0,36.0,19.0,13.0,0.0,0.0,1.0,2.0,80.0,61.0,32.0,9.0,13.0,8.0,13.0
2010-520,Roland Garros,Clay,128,G,20100524,113,103819,1.0,,Roger Federer,R,185.0,SUI,28.7912388775,1.0,10030.0,104527,20.0,,Stanislas Wawrinka,R,183.0,SUI,25.1553730322,24.0,1600.0,6-3 7-6(5) 6-2,5,R16,116.0,7.0,0.0,89.0,59.0,43.0,19.0,14.0,3.0,4.0,5.0,4.0,87.0,48.0,38.0,16.0,15.0,3.0,8.0
2010-520,Roland Garros,Clay,128,G,20100524,121,104417,5.0,,Robin Soderling,R,193.0,SWE,25.7741273101,7.0,4755.0,103819,1.0,,Roger Federer,R,185.0,SUI,28.7912388775,1.0,10030.0,3-6 6-3 7-5 6-4,5,QF,150.0,14.0,6.0,126.0,81.0,59.0,25.0,20.0,5.0,7.0,12.0,2.0,119.0,76.0,56.0,23.0,20.0,5.0,9.0
2011-560,US Open,Hard,128,G,20110829,17,103819,3.0,,Roger Federer,R,185.0,SUI,30.0561259411,3.0,8380.0,105053,,,Santiago Giraldo,R,188.0,COL,23.7535934292,54.0,835.0,6-4 6-3 6-2,5,R128,106.0,5.0,3.0,83.0,51.0,36.0,15.0,14.0,0.0,3.0,2.0,2.0,98.0,52.0,32.0,15.0,13.0,11.0,18.0
2011-560,US Open,Hard,128,G,20110829,73,103819,3.0,,Roger Federer,R,185.0,SUI,30.0561259411,3.0,8380.0,104534,,,Dudi Sela,R,175.0,ISR,26.4010951403,93.0,580.0,6-3 6-2 6-2,5,R64,77.0,6.0,1.0,60.0,43.0,38.0,14.0,13.0,0.0,0.0,0.0,1.0,71.0,43.0,25.0,15.0,12.0,6.0,11.0
2011-560,US Open,Hard,128,G,20110829,101,103819,3.0,,Roger Federer,R,185.0,SUI,30.0561259411,3.0,8380.0,105227,27.0,,Marin Cilic,R,198.0,CRO,22.9158110883,28.0,1375.0,6-3 4-6 6-4 6-2,5,R32,160.0,6.0,3.0,108.0,63.0,47.0,28.0,19.0,7.0,9.0,12.0,5.0,119.0,57.0,39.0,32.0,18.0,8.0,14.0
2011-560,US Open,Hard,128,G,20110829,115,103819,3.0,,Roger Federer,R,185.0,SUI,30.0561259411,3.0,8380.0,104338,,,Juan Monaco,R,185.0,ARG,27.4168377823,36.0,1170.0,6-1 6-2 6-0,5,R16,82.0,14.0,1.0,59.0,39.0,33.0,13.0,11.0,0.0,0.0,1.0,2.0,68.0,45.0,18.0,11.0,10.0,7.0,14.0
2011-560,US Open,Hard,128,G,20110829,122,103819,3.0,,Roger Federer,R,185.0,SUI,30.0561259411,3.0,8380.0,104542,11.0,,Jo Wilfried Tsonga,R,188.0,FRA,26.3655030801,11.0,2350.0,6-4 6-3 6-3,5,QF,113.0,5.0,2.0,86.0,61.0,47.0,11.0,14.0,1.0,3.0,5.0,2.0,85.0,45.0,31.0,16.0,14.0,7.0,13.0
2011-560,US Open,Hard,128,G,20110829,125,104925,1.0,,Novak Djokovic,R,188.0,SRB,24.2710472279,1.0,13920.0,103819,3.0,,Roger Federer,R,185.0,SUI,30.0561259411,3.0,8380.0,6-7(7) 4-6 6-3 6-2 7-5,5,SF,231.0,8.0,6.0,140.0,82.0,68.0,32.0,26.0,2.0,5.0,11.0,4.0,164.0,101.0,68.0,35.0,25.0,6.0,12.0
2011-580,Australian Open,Hard,128,G,20110117,64,103819,2.0,,Roger Federer,R,185.0,SUI,29.4428473648,2.0,9245.0,105041,,,Lukas Lacko,R,185.0,SVK,23.2060232717,97.0,553.0,6-1 6-1 6-3,5,R128,84.0,8.0,1.0,59.0,38.0,33.0,14.0,12.0,0.0,1.0,3.0,1.0,83.0,56.0,33.0,6.0,11.0,7.0,14.0
2011-580,Australian Open,Hard,128,G,20110117,96,103819,2.0,,Roger Federer,R,185.0,SUI,29.4428473648,2.0,9245.0,104468,,,Gilles Simon,R,183.0,FRA,26.0561259411,34.0,1210.0,6-2 6-3 4-6 4-6 6-3,5,R64,193.0,11.0,1.0,126.0,77.0,61.0,21.0,23.0,4.0,9.0,8.0,5.0,155.0,88.0,49.0,37.0,23.0,10.0,18.0
2011-580,Australian Open,Hard,128,G,20110117,112,103819,2.0,,Roger Federer,R,185.0,SUI,29.4428473648,2.0,9245.0,103598,,,Xavier Malisse,R,185.0,BEL,30.4969199179,45.0,956.0,6-3 6-3 6-1,5,R32,105.0,6.0,1.0,83.0,50.0,35.0,17.0,13.0,1.0,3.0,4.0,2.0,85.0,51.0,27.0,12.0,12.0,10.0,17.0
2011-580,Australian Open,Hard,128,G,20110117,120,103819,2.0,,Roger Federer,R,185.0,SUI,29.4428473648,2.0,9245.0,103990,,,Tommy Robredo,R,180.0,ESP,28.7145790554,52.0,890.0,6-3 3-6 6-3 6-2,5,R16,145.0,11.0,1.0,105.0,73.0,58.0,19.0,18.0,1.0,2.0,7.0,1.0,109.0,68.0,49.0,20.0,17.0,6.0,10.0
2011-580,Australian Open,Hard,128,G,20110117,124,103819,2.0,,Roger Federer,R,185.0,SUI,29.4428473648,2.0,9245.0,104527,19.0,,Stanislas Wawrinka,R,183.0,SUI,25.8069815195,19.0,1855.0,6-1 6-3 6-3,5,QF,107.0,5.0,0.0,75.0,58.0,42.0,13.0,13.0,1.0,1.0,1.0,0.0,81.0,47.0,27.0,19.0,12.0,2.0,6.0
2011-580,Australian Open,Hard,128,G,20110117,126,104925,3.0,,Novak Djokovic,R,188.0,SRB,23.6577686516,3.0,6240.0,103819,2.0,,Roger Federer,R,185.0,SUI,29.4428473648,2.0,9245.0,7-6(3) 7-5 6-4,5,SF,180.0,6.0,5.0,125.0,86.0,63.0,16.0,17.0,7.0,10.0,5.0,0.0,105.0,62.0,45.0,20.0,17.0,9.0,14.0
2011-540,Wimbledon,Grass,128,G,20110620,48,103819,3.0,,Roger Federer,R,185.0,SUI,29.864476386,3.0,9230.0,105062,,,Mikhail Kukushkin,R,183.0,KAZ,23.4825462012,61.0,852.0,7-6(2) 6-4 6-2,5,R128,102.0,12.0,1.0,80.0,57.0,51.0,17.0,15.0,3.0,3.0,4.0,1.0,93.0,61.0,41.0,18.0,15.0,4.0,7.0
2011-540,Wimbledon,Grass,128,G,20110620,88,103819,3.0,,Roger Federer,R,185.0,SUI,29.864476386,3.0,9230.0,105173,,,Adrian Mannarino,L,183.0,FRA,22.9733059548,55.0,923.0,6-2 6-3 6-2,5,R64,88.0,11.0,0.0,64.0,41.0,35.0,18.0,13.0,3.0,3.0,0.0,1.0,75.0,44.0,24.0,15.0,12.0,5.0,10.0
2011-540,Wimbledon,Grass,128,G,20110620,108,103819,3.0,,Roger Federer,R,185.0,SUI,29.864476386,3.0,9230.0,103900,28.0,,David Nalbandian,R,180.0,ARG,29.4647501711,23.0,1425.0,6-4 6-2 6-4,5,R32,106.0,14.0,0.0,89.0,63.0,49.0,14.0,14.0,2.0,3.0,5.0,3.0,85.0,52.0,34.0,16.0,14.0,2.0,7.0
2011-540,Wimbledon,Grass,128,G,20110620,118,103819,3.0,,Roger Federer,R,185.0,SUI,29.864476386,3.0,9230.0,104022,18.0,,Mikhail Youzhny,R,183.0,RUS,28.9856262834,17.0,1740.0,6-7(5) 6-3 6-3 6-3,5,R16,182.0,14.0,1.0,114.0,71.0,60.0,22.0,19.0,6.0,7.0,6.0,6.0,140.0,89.0,58.0,22.0,20.0,8.0,14.0
2011-540,Wimbledon,Grass,128,G,20110620,123,104542,12.0,,Jo Wilfried Tsonga,R,188.0,FRA,26.173853525,19.0,1585.0,103819,3.0,,Roger Federer,R,185.0,SUI,29.864476386,3.0,9230.0,3-6 6-7(3) 6-4 6-4 6-4,5,QF,188.0,18.0,4.0,145.0,102.0,74.0,29.0,25.0,0.0,1.0,17.0,1.0,137.0,103.0,80.0,24.0,26.0,6.0,9.0
2011-520,Roland Garros,Clay,128,G,20110522,48,103819,3.0,,Roger Federer,R,185.0,SUI,29.787816564,3.0,8390.0,103852,,,Feliciano Lopez,L,188.0,ESP,29.6700889802,41.0,1065.0,6-3 6-4 7-6(3),5,R128,119.0,12.0,0.0,89.0,56.0,48.0,20.0,16.0,0.0,0.0,7.0,3.0,99.0,63.0,41.0,22.0,15.0,7.0,9.0
2011-520,Roland Garros,Clay,128,G,20110522,88,103819,3.0,,Roger Federer,R,185.0,SUI,29.787816564,3.0,8390.0,105270,,WC,Maxime Teixeira,R,,FRA,22.340862423,181.0,300.0,6-3 6-0 6-2,5,R64,84.0,7.0,0.0,63.0,44.0,36.0,12.0,12.0,0.0,1.0,0.0,3.0,73.0,39.0,20.0,14.0,11.0,6.0,13.0
